Settlement ID,Order ID,Type,Order Date,Deposit Date,Potential Income,Potential Loss,Actual Profit
shopify_11568445882527,shopify_#3513,Order,2025-07-04T17:44:27Z,2025-07-04T17:44:27Z,55.27,1.90,53.37
shopify_11568445882527,shopify_#3513,Refund,2025-07-04T17:44:46Z,2025-07-04T17:44:27Z,-10.00,0.00,-10.00
shopify_11568445882527,shopify_#3513,Refund,2025-07-04T17:44:46Z,2025-07-04T17:44:27Z,-55.27,0.00,-55.27
shopify_11568417046687,shopify_#3512,Order,2025-07-04T17:25:25Z,2025-07-04T17:25:27Z,5.83,0.47,5.36
shopify_11568394371231,shopify_#3511,Order,2025-07-04T17:15:21Z,2025-07-04T17:15:36Z,10.00,0.59,9.41
shopify_11568394371231,shopify_#3511,Order,2025-07-04T17:15:21Z,2025-07-04T17:15:36Z,55.27,1.90,53.37
shopify_11568394371231,shopify_#3511,Order,2025-07-04T17:15:36Z,2025-07-04T17:15:36Z,55.27,1.90,53.37
shopify_11568394371231,shopify_#3511,Refund,2025-07-04T17:40:02Z,2025-07-04T17:15:36Z,-15.00,0.00,-15.00
shopify_11568318709919,shopify_#3510,Order,2025-07-04T16:59:07Z,2025-07-04T16:59:26Z,4.90,0.44,4.46
shopify_11568318709919,shopify_#3510,Order,2025-07-04T16:59:26Z,2025-07-04T16:59:26Z,4.90,0.44,4.46
shopify_11568305832095,shopify_#3509,Order,2025-07-04T16:47:33Z,2025-07-04T16:48:17Z,10.00,0.59,9.41
shopify_11568305832095,shopify_#3509,Order,2025-07-04T16:48:15Z,2025-07-04T16:48:17Z,55.27,1.90,53.37
shopify_11568231219359,shopify_#3508,Order,2025-07-04T15:56:31Z,2025-07-04T15:56:32Z,46.06,1.64,44.42
shopify_11568214507679,shopify_#3507,Order,2025-07-04T15:44:39Z,2025-07-04T15:44:40Z,15.00,0.73,14.27
shopify_11568083927199,shopify_#3506,Order,2025-07-04T14:05:44Z,2025-07-04T14:05:45Z,103.00,3.29,99.71
shopify_11568026189983,shopify_#3505,Order,2025-07-04T13:17:28Z,2025-07-04T13:17:29Z,100.00,3.20,96.80
shopify_11564561432735,shopify_#3504,Order,2025-07-02T13:51:14Z,2025-07-02T13:51:15Z,43.72,1.57,42.15
shopify_11564417646751,shopify_#3503,Order,2025-07-02T11:03:08Z,2025-07-02T11:03:09Z,50.55,1.77,48.78
shopify_11564412174495,shopify_#3502,Order,2025-07-02T10:59:23Z,2025-07-02T10:59:24Z,94.50,3.04,91.46
shopify_11555407495327,shopify_#3501,Order,2025-06-26T11:42:05Z,2025-06-26T11:42:06Z,4.10,0.42,3.68
shopify_11534375714975,shopify_#3500,Order,2025-06-11T21:41:50Z,2025-06-11T21:41:51Z,4.04,0.42,3.62
shopify_11525854396575,shopify_#3497,Order,2025-06-06T12:40:22Z,2025-06-06T12:40:23Z,1.03,0.33,0.70
shopify_11524399038623,shopify_#3496,Order,2025-06-05T12:19:40Z,2025-06-05T12:19:41Z,51.17,1.78,49.39
shopify_11523337912479,shopify_#3495,Order,2025-06-04T18:27:58Z,2025-06-04T18:27:59Z,23.85,0.99,22.86
shopify_11523294789791,shopify_#3494,Order,2025-06-04T17:59:50Z,2025-06-04T17:59:51Z,23.05,0.97,22.08
shopify_11523290628255,shopify_#3493,Order,2025-06-04T17:55:43Z,2025-06-04T17:55:43Z,22.40,0.95,21.45
shopify_11523290628255,shopify_#3493,Refund,2025-06-05T12:19:13Z,2025-06-04T17:55:43Z,-12.26,0.00,-12.26
shopify_11523289251999,shopify_#3492,Order,2025-06-04T17:54:10Z,2025-06-04T17:54:11Z,91.67,2.96,88.71
shopify_11523287548063,shopify_#3491,Order,2025-06-04T17:52:47Z,2025-06-04T17:52:47Z,13.14,0.68,12.46
shopify_11523268346015,shopify_#3490,Order,2025-06-04T17:36:07Z,2025-06-04T17:36:08Z,81.32,2.66,78.66
shopify_11520169836703,shopify_#3489,Order,2025-06-02T13:56:46Z,2025-06-02T13:56:47Z,3.00,0.39,2.61
shopify_11499815600287,shopify_#3488,Order,2025-05-20T12:28:28Z,2025-05-20T12:28:29Z,21.00,0.91,20.09
shopify_11499788337311,shopify_#3487,Order,2025-05-20T11:55:48Z,2025-05-20T11:55:49Z,9.89,0.59,9.30
shopify_11499679678623,shopify_#3486,Order,2025-05-20T09:53:42Z,2025-05-20T09:53:43Z,10.00,0.59,9.41
